#   N_BLOCK:  ACCEPTANCE:
           1    0.490724
           2    0.490768
           3    0.490911
           4    0.490685
           5    0.490674
           6    0.490692
           7    0.490699
           8    0.490632
           9    0.490612
          10    0.490675
          11    0.490693
          12    0.490727
          13    0.490724
          14    0.490697
          15    0.490713
          16    0.490722
          17    0.490715
          18    0.490663
          19     0.49068
          20    0.490697
