#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.19396    -0.19396           0
           2    -0.31918    -0.25657    0.044272
           3    -0.04394   -0.185693   0.0649624
           4    -0.24896    -0.20151   0.0506107
           5    -0.16776    -0.19476   0.0409362
           6     0.13242    -0.14023   0.0603462
           7    -0.31988   -0.165894   0.0569216
           8    -0.11868   -0.159992   0.0501114
           9     0.15166   -0.125364   0.0552267
          10    -0.03008   -0.115836   0.0505194
          11    -0.12402    -0.11658   0.0459322
          12    -0.41926   -0.141803   0.0485385
          13     0.03574   -0.128146   0.0466866
          14     0.18538   -0.105751   0.0484261
          15     -0.0342   -0.100981    0.045432
          16      0.1542  -0.0850325   0.0453055
          17     0.30602  -0.0620294   0.0481272
          18     0.05902  -0.0553044   0.0459209
          19    -0.19492  -0.0626526    0.044088
          20     0.12576   -0.053232   0.0428783
