#   N_BLOCK:  ACCEPTANCE:
           1    0.408607
           2    0.408502
           3    0.408463
           4    0.408753
           5    0.408498
           6    0.408493
           7    0.408494
           8    0.408479
           9     0.40852
          10    0.408684
          11     0.40869
          12    0.408775
          13    0.408691
          14    0.408668
          15    0.408689
          16    0.408603
          17    0.408524
          18    0.408514
          19     0.40849
          20    0.408409
