#   N_BLOCK:  ACCEPTANCE:
           1   0.0832327
           2    0.083194
           3   0.0831397
           4   0.0832602
           5   0.0833061
           6   0.0835198
           7   0.0835408
           8   0.0838737
           9   0.0841994
          10   0.0845185
          11   0.0850882
          12    0.085156
          13   0.0848756
          14    0.084458
          15    0.084443
          16   0.0845251
          17   0.0845228
          18   0.0845064
          19   0.0843209
          20   0.0842949
