#   N_BLOCK:  ACCEPTANCE:
           1   0.0652804
           2   0.0651405
           3   0.0649564
           4    0.064939
           5   0.0648331
           6   0.0646929
           7   0.0646243
           8   0.0645995
           9   0.0646254
          10   0.0645901
          11    0.064573
          12   0.0646693
          13   0.0646504
          14   0.0647198
          15    0.064642
          16   0.0645989
          17   0.0646604
          18   0.0645822
          19     0.06467
          20   0.0647075
