#   N_BLOCK:  ACCEPTANCE:
           1    0.226725
           2    0.226917
           3     0.22703
           4     0.22708
           5    0.226969
           6    0.227038
           7    0.226866
           8    0.226809
           9    0.227098
          10    0.226985
          11    0.226864
          12    0.227028
          13    0.227017
          14    0.226909
          15    0.226901
          16    0.226859
          17    0.226795
          18    0.226855
          19    0.226908
          20    0.226824
