#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.565824    0.565824           0
           2     0.48137    0.523597    0.029859
           3    0.599568    0.548921   0.0287015
           4    0.422766    0.517382   0.0347763
           5    0.435858    0.501077   0.0314116
           6    0.447366    0.492125   0.0274222
           7    0.603424    0.508025   0.0277338
           8    0.533964    0.511267   0.0244559
           9    0.557436    0.516397   0.0222701
          10    0.457012    0.510459   0.0208198
          11    0.511582    0.510561   0.0189273
          12    0.535192    0.512613    0.017461
          13    0.533046    0.514185   0.0161884
          14     0.48767    0.512291   0.0151425
          15    0.525736    0.513188   0.0141595
          16    0.529032    0.514178   0.0133091
          17    0.493774    0.512978   0.0125802
          18    0.512344    0.512942   0.0118814
          19    0.562794    0.515566   0.0115421
          20    0.603252    0.519951   0.0117683
