#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.44064     0.44064           0
           2    0.428293    0.434466  0.00436534
           3    0.439282    0.436072  0.00319173
           4    0.435271    0.435871  0.00240007
           5    0.451347    0.438967  0.00336906
           6    0.446403    0.440206  0.00302696
           7    0.439135    0.440053   0.0025984
           8    0.443057    0.440428  0.00230057
           9    0.442153     0.44062  0.00205291
          10    0.438865    0.440445   0.0018551
          11    0.446166    0.440965  0.00175786
          12    0.438356    0.440747  0.00162476
          13     0.43558     0.44035  0.00154764
          14    0.437153    0.440121  0.00145384
          15    0.442197     0.44026  0.00136349
          16    0.443575    0.440467  0.00129392
          17      0.4345    0.440116  0.00126451
          18     0.42709    0.439392  0.00138596
          19    0.436398    0.439235  0.00132194
          20    0.449317    0.439739  0.00134854
