#   N_BLOCK:  ACCEPTANCE:
           1    0.440261
           2    0.440322
           3    0.440311
           4    0.440317
           5    0.440354
           6    0.440323
           7     0.44035
           8     0.44034
           9    0.440344
          10    0.440382
          11    0.440431
          12    0.440442
          13    0.440454
          14    0.440404
          15    0.440427
          16    0.440436
          17    0.440426
          18    0.440456
          19    0.440432
          20    0.440439
