#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.874886   -0.874886           0
           2   -0.867676   -0.871281   0.0025492
           3   -0.870431   -0.870998  0.00171515
           4   -0.868327    -0.87033  0.00141036
           5   -0.871069   -0.870478  0.00113601
           6   -0.874432   -0.871137  0.00112169
           7   -0.873535    -0.87148  0.00101243
           8   -0.874647   -0.871876 0.000960195
           9    -0.87444   -0.872161 0.000894797
          10   -0.862282   -0.871173  0.00123566
          11   -0.876804   -0.871685  0.00122478
          12   -0.872271   -0.871733  0.00112369
          13   -0.866965   -0.871367   0.0010955
          14    -0.87083   -0.871328  0.00101792
          15    -0.86819   -0.871119 0.000971323
          16   -0.869205   -0.870999 0.000917952
          17    -0.87567   -0.871274 0.000904133
          18   -0.870065   -0.871207 0.000856394
          19   -0.873742    -0.87134  0.00082165
          20   -0.874635   -0.871505 0.000796906
