#   N_BLOCK:  ACCEPTANCE:
           1    0.240138
           2    0.239676
           3     0.23983
           4    0.239843
           5    0.239706
           6    0.239635
           7    0.239587
           8    0.239444
           9    0.239535
          10    0.239428
          11    0.239331
          12    0.239525
          13    0.239571
          14    0.239477
          15    0.239492
          16    0.239497
          17    0.239432
          18    0.239568
          19    0.239609
          20     0.23957
