#   N_BLOCK:  ACCEPTANCE:
           1    0.375198
           2    0.375402
           3    0.375346
           4    0.375462
           5     0.37526
           6    0.375231
           7    0.375095
           8    0.375075
           9    0.375207
          10    0.375133
          11    0.375186
          12    0.375216
          13    0.375183
          14    0.375122
          15    0.375202
          16    0.375132
          17     0.37513
          18    0.375124
          19    0.375094
          20    0.375032
