#   N_BLOCK:  ACCEPTANCE:
           1   0.0150956
           2    0.014866
           3   0.0145331
           4   0.0139589
           5     0.01378
           6    0.013899
           7   0.0138276
           8   0.0138531
           9   0.0137285
          10   0.0137596
          11   0.0137833
          12   0.0137196
          13    0.013703
          14   0.0136384
          15   0.0136049
          16   0.0135814
          17   0.0136131
          18   0.0135494
          19   0.0134646
          20   0.0134948
