#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.213023    0.213023           0
           2    0.213969    0.213496 0.000334545
           3    0.211996    0.212996 0.000465096
           4     0.21294    0.212982 0.000349034
           5    0.212529    0.212891 0.000290737
           6    0.211681     0.21269 0.000304359
           7    0.210858    0.212428 0.000356006
           8    0.210821    0.212227  0.00036381
           9     0.21334    0.212351 0.000343769
          10    0.211907    0.212306 0.000312248
          11    0.213608    0.212425 0.000305477
          12    0.210785    0.212288  0.00030908
          13    0.211994    0.212265 0.000286131
          14    0.212218    0.212262 0.000265713
          15    0.212401    0.212271  0.00024816
          16    0.210606    0.212167 0.000253544
          17    0.210047    0.212043 0.000267539
          18    0.211224    0.211997  0.00025651
          19    0.213632    0.212083 0.000257045
          20    0.212942    0.212126 0.000247751
