#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0006896   0.0006896           0
           2   0.0020544    0.001372  0.00048253
           3  -0.0007984 0.000648533  0.00067262
           4   0.0013828   0.0008321 0.000528921
           5   -0.001886  0.00028848 0.000644564
           6   -0.001688-4.09333e-05 0.000615584
           7  -0.0029804-0.000460857 0.000655403
           8  -0.0009504 -0.00052205 0.000576327
           9   0.0020364-0.000237778 0.000578164
          10   0.0024884   3.484e-05 0.000581077
          11  -0.0027208-0.000215673 0.000579742
          12  -0.0011172  -0.0002908 0.000536276
          13  -0.0009428-0.000340954 0.000497364
          14  -0.0034336-0.000561857 0.000508534
          15    5.84e-05-0.000520507  0.00047631
          16   0.0022128-0.000349675 0.000476191
          17  -0.0054364-0.000648894 0.000533976
          18   0.0003192-0.000595111 0.000507012
          19   0.0025172-0.000431305 0.000506097
          20  -0.0004024 -0.00042986 0.000480795
