#   N_BLOCK:  ACCEPTANCE:
           1    0.330495
           2    0.330495
           3     0.33064
           4    0.330743
           5    0.330559
           6    0.330403
           7    0.330466
           8    0.330323
           9     0.33043
          10    0.330356
          11    0.330312
          12    0.330417
          13    0.330281
          14    0.330284
          15    0.330294
          16    0.330258
          17    0.330279
          18    0.330357
          19    0.330334
          20    0.330212
