#   N_BLOCK:  ACCEPTANCE:
           1    0.310318
           2    0.310358
           3    0.310467
           4    0.310803
           5    0.310457
           6    0.310401
           7    0.310127
           8    0.310024
           9    0.310194
          10    0.310084
          11    0.310012
          12    0.309945
          13    0.309994
          14    0.309943
          15     0.31004
          16    0.309965
          17    0.309951
          18    0.310037
          19    0.310156
          20     0.30999
