#   N_BLOCK:  ACCEPTANCE:
           1    0.349697
           2    0.349624
           3    0.349814
           4    0.350185
           5    0.350213
           6    0.350189
           7    0.350079
           8    0.349896
           9    0.350088
          10    0.350098
          11    0.350201
          12    0.350217
          13    0.350106
          14    0.350172
          15    0.350212
          16     0.35009
          17    0.350025
          18    0.350059
          19    0.350029
          20    0.349914
