#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.217754    0.217754           0
           2    0.215071    0.216413 0.000948564
           3    0.218873    0.217233 0.000920934
           4     0.21681    0.217127 0.000696728
           5    0.219004    0.217502 0.000650735
           6     0.21432    0.216972 0.000727023
           7    0.217049    0.216983 0.000623247
           8    0.216142    0.216878 0.000554136
           9    0.213933    0.216551 0.000581179
          10    0.216851    0.216581 0.000523834
          11    0.215161    0.216452 0.000491865
          12    0.216313     0.21644 0.000451012
          13    0.217931    0.216555 0.000430658
          14    0.217157    0.216598 0.000402038
          15    0.212859    0.216349 0.000445864
          16    0.217153    0.216399 0.000420821
          17    0.219111    0.216558 0.000425231
          18    0.214595    0.216449 0.000415358
          19    0.214926    0.216369 0.000401158
          20    0.215374    0.216319 0.000384172
