#   N_BLOCK:  ACCEPTANCE:
           1    0.312753
           2    0.312379
           3    0.312027
           4     0.31192
           5    0.311852
           6    0.311848
           7    0.311874
           8    0.311913
           9    0.311967
          10    0.311993
          11    0.312023
          12    0.312077
          13    0.312043
          14    0.312038
          15     0.31204
          16    0.312062
          17    0.312062
          18    0.312044
          19    0.312002
          20     0.31196
