#   N_BLOCK:  ACCEPTANCE:
           1    0.177053
           2    0.177053
           3    0.177499
           4    0.177801
           5    0.177722
           6    0.177694
           7    0.177528
           8    0.177498
           9    0.177769
          10    0.177749
          11    0.177538
          12    0.177562
          13    0.177615
          14    0.177616
          15    0.177633
          16    0.177631
          17    0.177685
          18    0.177807
          19    0.177899
          20    0.177815
