#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.92007     1.92007           0
           2     1.90386     1.91197  0.00573139
           3     1.91292     1.91229  0.00382978
           4     1.90543     1.91057   0.0032337
           5     1.90261     1.90898  0.00295325
           6      1.9275     1.91207   0.0037409
           7     1.93772     1.91573  0.00466876
           8     1.90679     1.91461  0.00421677
           9     1.90123     1.91313  0.00400188
          10     1.90246     1.91206  0.00374117
          11     1.88425     1.90953  0.00416846
          12     1.91778     1.91022  0.00387735
          13     1.91166     1.91033  0.00358068
          14     1.91369     1.91057  0.00333296
          15     1.88068     1.90858  0.00365825
          16     1.89564     1.90777   0.0035178
          17     1.89379     1.90695  0.00340561
          18     1.93023     1.90824  0.00345343
          19     1.90699     1.90817   0.0032723
          20     1.90396     1.90796  0.00311546
