#   N_BLOCK:  ACCEPTANCE:
           1    0.471449
           2    0.471479
           3    0.471422
           4     0.47142
           5    0.471415
           6    0.471386
           7    0.471393
           8    0.471349
           9    0.471351
          10    0.471373
          11    0.471422
          12    0.471464
          13    0.471475
          14     0.47142
          15    0.471407
          16    0.471406
          17    0.471418
          18    0.471435
          19    0.471419
          20    0.471413
