#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.79073     4.79073           0
           2      4.7363     4.76351   0.0192442
           3     4.45149     4.65951   0.0858853
           4     4.72086     4.67484   0.0657695
           5     4.52164      4.6442   0.0593255
           6     4.82211     4.67385   0.0563625
           7     4.83163     4.69639   0.0526251
           8     4.86398     4.71734   0.0500428
           9     4.61656     4.70614   0.0457181
          10     4.85662     4.72119   0.0435523
          11     4.72931     4.72193   0.0395992
          12     4.53881     4.70667   0.0391294
          13     4.51168     4.69167   0.0388881
          14     4.65111     4.68877   0.0362182
          15     4.59377     4.68244    0.034353
          16     5.05391     4.70566   0.0392754
          17     4.71441     4.70617   0.0369685
          18     4.82426     4.71273    0.035492
          19     4.60142     4.70687   0.0341041
          20     4.70058     4.70656   0.0324004
