#   N_BLOCK:  ACCEPTANCE:
           1     0.30658
           2     0.30654
           3    0.306823
           4    0.307198
           5    0.306893
           6    0.306706
           7    0.306527
           8    0.306311
           9    0.306425
          10    0.306291
          11    0.306263
          12    0.306215
          13    0.306323
          14    0.306318
          15    0.306379
          16    0.306312
          17    0.306284
          18    0.306412
          19    0.306507
          20    0.306335
