#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         153      -0.444   -0.586269  0.00898232
         154     -0.5184   -0.585829   0.0089348
         155      -0.516   -0.585378   0.0088885
         156        -0.6   -0.585472  0.00883202
         157     -0.4416   -0.584555  0.00882318
         158     -0.5264   -0.584187  0.00877501
         159      -0.608   -0.584337   0.0087211
         160      -0.688   -0.584985  0.00869062
         161     -0.7704   -0.586137  0.00871262
         162     -0.6896   -0.586775  0.00868221
         163     -0.6888   -0.587401  0.00865148
         164      -0.768   -0.588502  0.00866853
         165     -0.8416   -0.590036  0.00875066
         166     -0.7648   -0.591089  0.00876104
         167      -0.932   -0.593131  0.00894325
         168     -0.8488   -0.594652  0.00901857
         169      -0.688   -0.595205   0.0089821
         170     -0.7728   -0.596249  0.00898981
         171     -0.5272   -0.595846   0.0089463
         172     -0.8456   -0.597298  0.00901136
         173     -0.6856   -0.597808  0.00897372
         174     -0.6024   -0.597834  0.00892218
         175       -0.52    -0.59739  0.00888228
         176     -0.5192   -0.596945  0.00884291
         177     -0.4416   -0.596068   0.0088364
         178      -0.604   -0.596112  0.00878687
         179     -0.3616   -0.594802  0.00883491
         180     -0.4424   -0.593956   0.0088263
         181       -0.52   -0.593547  0.00878699
         182     -0.6912   -0.594084  0.00875508
         183     -0.8496    -0.59548  0.00881787
         184     -0.8496   -0.596861  0.00887745
         185     -0.6864   -0.597345  0.00884264
         186      -0.768   -0.598262  0.00884257
         187     -0.5248    -0.59787  0.00880401
         188      -0.444   -0.597051  0.00879514
         189     -0.3696   -0.595848  0.00883056
         190     -0.3632   -0.594623  0.00886857
         191     -0.5256   -0.594262  0.00882949
         192     -0.2824   -0.592637  0.00893166
         193      -0.516    -0.59224   0.0088942
         194     -0.6704   -0.592643  0.00885748
         195     -0.6744   -0.593063  0.00882197
         196     -0.5936   -0.593065  0.00877696
         197     -0.2808    -0.59148  0.00887439
         198     -0.5152   -0.591095  0.00883793
         199     -0.4336   -0.590304  0.00882888
         200     -0.7584   -0.591144  0.00882465
         201     -0.5968   -0.591172  0.00878079
         202      -0.432   -0.590384  0.00877261
         203     -0.5208   -0.590041  0.00873609
         204     -0.6816    -0.59049  0.00870478
         205     -0.5984   -0.590529  0.00866241
         206     -0.6712    -0.59092   0.0086292
         207     -0.6736    -0.59132  0.00859676
         208     -0.7584   -0.592123  0.00859287
         209     -0.6784   -0.592536  0.00856167
         210     -0.6808   -0.592956  0.00853121
         211       -0.76   -0.593748  0.00852743
         212     -0.3592   -0.592642  0.00855867
         213     -0.3608   -0.591553  0.00858743
         214      -0.436   -0.590826  0.00857801
         215      -0.436   -0.590106  0.00856828
         216     -0.5144   -0.589756  0.00853578
         217      -0.516   -0.589416  0.00850321
         218     -0.6016   -0.589472  0.00846439
         219      -0.512   -0.589118  0.00843313
         220     -0.5104    -0.58876  0.00840238
         221     -0.5136    -0.58842  0.00837124
         222     -0.6696   -0.588786  0.00834152
         223     -0.6696   -0.589148  0.00831198
         224     -0.5936   -0.589168   0.0082749
         225     -0.5128   -0.588828  0.00824508
         226      -0.596    -0.58886  0.00820865
         227     -0.7536   -0.589586  0.00820451
         228     -0.6752   -0.589961  0.00817711
         229      -0.672    -0.59032  0.00814925
         230     -0.6696   -0.590664  0.00812111
         231     -0.4336   -0.589984  0.00811436
         232      -0.276   -0.588631  0.00819147
         233     -0.4416      -0.588  0.00818059
         234     -0.4448   -0.587388  0.00816849
         235     -0.4424   -0.586771  0.00815699
         236     -0.4464   -0.586176  0.00814409
         237     -0.5264   -0.585924  0.00811363
         238     -0.6808   -0.586323  0.00808932
         239     -0.5184   -0.586038  0.00806047
         240     -0.6072   -0.586127  0.00802736
         241      -0.444   -0.585537  0.00801569
         242     -0.6048   -0.585617  0.00798296
         243      -0.444   -0.585034  0.00797135
         244     -0.6784   -0.585416  0.00794786
         245     -0.7592   -0.586126  0.00794701
         246        -0.6   -0.586182  0.00791491
         247     -0.6008   -0.586241  0.00788308
         248     -0.6824   -0.586629  0.00786083
         249      -0.604   -0.586699  0.00782957
         250     -0.6072   -0.586781  0.00779868
         251     -0.5256   -0.586537  0.00777142
         252       -0.36   -0.585638   0.0077924
         253     -0.5152    -0.58536  0.00776657
         254      -0.592   -0.585386  0.00773604
         255      -0.592   -0.585412  0.00770574
         256     -0.6776   -0.585772  0.00768405
         257     -0.6808   -0.586142  0.00766304
         258     -0.5208   -0.585888  0.00763753
         259     -0.5984   -0.585937  0.00760819
         260       -0.52   -0.585683  0.00758315
         261     -0.5968   -0.585726  0.00755422
         262     -0.6816   -0.586092  0.00753424
         263      -0.364   -0.585247  0.00755277
         264     -0.4456   -0.584718  0.00754266
         265     -0.5312   -0.584516  0.00751691
         266     -0.6096   -0.584611  0.00748924
