#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.28        0.28           0
           2        0.32         0.3   0.0141421
           3        0.04    0.213333   0.0713883
           4           0        0.16   0.0707107
           5        -0.2       0.088   0.0857158
           6        0.04        0.08   0.0718022
           7        0.04   0.0742857   0.0617717
           8        0.24       0.095   0.0574184
           9        0.44    0.133333   0.0625389
          10        0.48       0.168    0.065189
          11        0.44    0.192727   0.0637802
          12        0.28         0.2   0.0588784
          13        0.16    0.196923   0.0544296
          14        0.04    0.185714    0.051683
          15        0.08    0.178667   0.0487157
          16        0.24      0.1825   0.0458215
          17           0    0.171765   0.0443659
          18           0    0.162222    0.042915
          19           0    0.153684    0.041497
          20        0.12       0.152   0.0394563
          21       -0.08    0.140952   0.0390935
          22        0.04    0.136364   0.0375849
          23           0    0.130435   0.0364154
          24       -0.12        0.12   0.0363624
          25           0      0.1152   0.0352233
          26         0.2    0.118462   0.0340192
          27        0.28    0.124444   0.0332812
          28        0.16    0.125714   0.0321168
          29        0.32    0.132414   0.0317003
          30        0.16    0.133333    0.030657
          31        0.16    0.134194   0.0296801
          32        0.44     0.14375    0.030252
          33         0.4    0.151515   0.0303155
          34        0.32    0.156471   0.0298261
          35        0.16    0.156571   0.0289741
          36           0    0.152222   0.0284939
          37       -0.04    0.147027   0.0281934
          38       -0.12        0.14   0.0283136
          39       -0.12    0.133333   0.0283616
          40       -0.12       0.127   0.0283509
          41       -0.12    0.120976   0.0282923
          42        0.08        0.12   0.0276355
          43        0.04     0.11814   0.0270553
          44       -0.04    0.114545   0.0266781
          45       -0.08    0.110222   0.0264332
          46       -0.04    0.106957   0.0260595
          47        0.04    0.105532    0.025544
          48        0.08       0.105   0.0250174
          49       -0.04    0.102041   0.0246812
          50       -0.04      0.0992   0.0243505
          51        0.04   0.0980392   0.0239007
          52        0.04   0.0969231   0.0234671
          53        0.08   0.0966038   0.0230265
          54           0   0.0948148   0.0226695
          55        0.12   0.0952727   0.0222619
          56        0.16   0.0964286   0.0218944
          57        0.16   0.0975439   0.0215387
          58         0.4    0.102759   0.0217894
          59         0.2    0.104407   0.0214824
          60        0.24    0.106667   0.0212429
          61        0.32    0.110164   0.0211805
          62        0.28    0.112903   0.0210153
          63        0.24    0.114921   0.0207783
          64       -0.04      0.1125   0.0205942
          65       -0.04    0.110154   0.0204106
          66         0.2    0.111515   0.0201467
          67         0.2    0.112836   0.0198892
          68        0.28    0.115294   0.0197481
          69        0.48     0.12058   0.0201568
          70        0.48    0.125714   0.0205124
          71        0.56    0.131831   0.0211158
          72        0.44    0.136111   0.0212519
          73        0.32     0.13863   0.0211095
          74         0.2    0.139459   0.0208405
          75        0.24      0.1408   0.0206057
          76        0.12    0.140526   0.0203364
          77        0.12     0.14026   0.0200741
          78        0.12        0.14   0.0198184
          79           0    0.138228   0.0196466
          80         0.4      0.1415   0.0196716
          81        0.68    0.148148   0.0205214
          82         0.6    0.153659   0.0209979
          83        0.48     0.15759   0.0211099
