#   N_BLOCK:  ACCEPTANCE:
           1    0.508814
           2    0.508638
           3    0.508592
           4    0.508662
           5    0.508725
           6    0.508735
           7    0.508711
           8    0.508799
           9    0.508882
          10    0.508852
          11    0.508745
          12    0.508725
          13    0.508683
          14    0.508622
          15      0.5086
          16    0.508594
          17    0.508585
          18    0.508636
          19    0.508678
          20    0.508681
