#   N_BLOCK:  ACCEPTANCE:
           1    0.111628
           2    0.112089
           3     0.11178
           4     0.11164
           5    0.111258
           6    0.111721
           7    0.111285
           8    0.111251
           9    0.111508
          10    0.111513
          11    0.111462
          12    0.111608
          13    0.111579
          14    0.111387
          15    0.111403
          16    0.111315
          17    0.111384
          18    0.111628
          19    0.111584
          20    0.111442
