#   N_BLOCK:  ACCEPTANCE:
           1    0.353576
           2    0.353342
           3    0.353541
           4    0.353747
           5    0.353657
           6    0.353529
           7    0.353507
           8    0.353455
           9    0.353578
          10    0.353572
          11    0.353726
          12    0.353697
          13     0.35354
          14    0.353556
          15    0.353576
          16    0.353472
          17    0.353446
          18    0.353506
          19    0.353514
          20    0.353402
