#   N_BLOCK:  ACCEPTANCE:
           1    0.190365
           2    0.190362
           3    0.190841
           4    0.191072
           5    0.190981
           6    0.190965
           7     0.19087
           8    0.190816
           9    0.190903
          10     0.19098
          11    0.190954
          12    0.190961
          13    0.190966
          14    0.190906
          15    0.190989
          16    0.191084
          17    0.191057
          18    0.191134
          19    0.191195
          20    0.191206
