#   N_BLOCK:  ACCEPTANCE:
           1    0.292683
           2    0.292701
           3    0.292959
           4     0.29318
           5    0.292944
           6    0.292935
           7    0.292995
           8    0.292985
           9    0.292981
          10    0.292743
          11    0.292758
          12    0.292729
          13    0.292645
          14    0.292667
          15    0.292765
          16    0.292774
          17    0.292775
          18     0.29282
          19    0.292848
          20    0.292724
