#   N_BLOCK:  ACCEPTANCE:
           1    0.366738
           2    0.366637
           3    0.366903
           4    0.367002
           5     0.36698
           6    0.366948
           7    0.366989
           8    0.367002
           9    0.367175
          10    0.367176
          11    0.367277
          12    0.367219
          13    0.367134
          14    0.367131
          15    0.367211
          16    0.367126
          17    0.367079
          18    0.367098
          19    0.367155
          20    0.367051
