#   N_BLOCK:  ACCEPTANCE:
           1     0.25881
           2    0.258576
           3    0.259149
           4    0.259405
           5    0.259478
           6    0.259472
           7    0.259248
           8    0.259096
           9    0.259302
          10    0.259283
          11    0.259195
          12     0.25931
          13    0.259338
          14    0.259292
          15    0.259217
          16    0.259143
          17    0.258974
          18    0.259087
          19    0.259159
          20    0.259056
