# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0           0
           25.94401e+162  0.00063842    0.217981
           2 6.0108e+162 0.000628694    0.217036
           26.07759e+162 0.000610443    0.212996
           26.14437e+162 0.000597656    0.210772
           26.21116e+162 0.000587536    0.209429
           26.27795e+162  0.00057575    0.207384
           26.34473e+162 0.000583567    0.212443
           26.41152e+162 0.000574632    0.211335
           26.47831e+162  0.00056281    0.208984
           26.54509e+162 0.000546731    0.205036
           26.61188e+162 0.000544794    0.206346
           3           0           0           0
           36.67867e+160           0           0
           31.33573e+161           0           0
           3 2.0036e+161           0           0
           32.67147e+161           0           0
           33.33933e+161           0           0
           3 4.0072e+161           0           0
           34.67507e+161           0           0
           35.34293e+161           0           0
           3 6.0108e+161           0           0
           36.67867e+161           0           0
           37.34653e+161           0           0
           3 8.0144e+161           0           0
           38.68227e+161           0           0
           39.35013e+161           0           0
           3 1.0018e+162           0           0
           31.06859e+162           0           0
           31.13537e+162           0           0
           31.20216e+162           0           0
           31.26895e+162           0           0
           31.33573e+162           0           0
           31.40252e+162           0           0
           31.46931e+162           0           0
           31.53609e+162           0           0
           31.60288e+162           0           0
           31.66967e+162           0           0
           31.73645e+162           0           0
           31.80324e+162           0           0
           31.87003e+162           0           0
           31.93681e+162           0           0
           3 2.0036e+162           0           0
           32.07039e+162           0           0
           32.13717e+162           0           0
           32.20396e+162           0           0
           32.27075e+162  3.0545e-07 3.74359e-05
           32.33753e+162 1.46221e-05  0.00171253
           32.40432e+162 0.000108347   0.0127496
           32.47111e+162  0.00034012   0.0409429
           32.53789e+162 0.000718706   0.0887376
           32.60468e+162  0.00111111    0.140612
           32.67147e+162  0.00139593    0.180801
           32.73825e+162  0.00153265    0.203176
           32.80504e+162  0.00153638    0.208338
           32.87183e+162  0.00142558    0.197802
           32.93861e+162  0.00130083     0.18434
           3 3.0054e+162  0.00119528    0.172988
           33.07219e+162  0.00109572    0.161974
           33.13897e+162 0.000939664    0.141808
           33.20576e+162 0.000854572    0.131498
           33.27255e+162 0.000766544    0.120317
           33.33933e+162 0.000686162    0.110019
           33.40612e+162 0.000618583    0.100958
           33.47291e+162  0.00058555   0.0972702
           33.53969e+162 0.000527461   0.0892529
           33.60648e+162 0.000479245   0.0825961
           33.67327e+162 0.000470084   0.0824518
           33.74005e+162 0.000434376   0.0775687
           33.80684e+162 0.000441949   0.0802719
           33.87363e+162 0.000421489   0.0777511
           33.94041e+162 0.000407868   0.0765547
           3 4.0072e+162 0.000398567   0.0759004
           34.07399e+162 0.000420392   0.0813879
           34.14077e+162 0.000419789     0.08254
           34.20756e+162  0.00042941   0.0857002
           34.27435e+162  0.00042998   0.0871423
           34.34113e+162 0.000443919   0.0912994
           34.40792e+162 0.000473428   0.0988338
           34.47471e+162 0.000467688   0.0990593
           34.54149e+162 0.000501122    0.107643
           34.60828e+162 0.000528691    0.115246
           34.67507e+162 0.000543555    0.120113
           34.74185e+162  0.00058153    0.130229
           34.80864e+162 0.000614369    0.139462
           34.87543e+162 0.000643931    0.148148
           34.94221e+162 0.000667661    0.155727
           3  5.009e+162  0.00069564    0.164317
           35.07579e+162 0.000701742    0.167882
           35.14257e+162 0.000726783    0.176112
           35.20936e+162 0.000739411     0.18142
           35.27615e+162 0.000779672    0.193768
           35.34293e+162 0.000774719    0.194799
           35.40972e+162 0.000773067    0.196677
           35.47651e+162 0.000756702     0.19482
           35.54329e+162 0.000749816    0.195334
           35.61008e+162 0.000752352    0.198335
           35.67687e+162 0.000732802    0.195387
           35.74365e+162 0.000700231    0.188978
           35.81044e+162 0.000684196    0.186614
           35.87723e+162  0.00066538    0.183482
           35.94401e+162 0.000647568    0.180567
