#   N_BLOCK:  ACCEPTANCE:
           1    0.285525
           2    0.285498
           3    0.285668
           4    0.285691
           5     0.28554
           6     0.28537
           7    0.285438
           8    0.285365
           9    0.285376
          10    0.285096
          11    0.285015
          12    0.284912
          13    0.284925
          14    0.284875
          15    0.284913
          16    0.284924
          17    0.284893
          18    0.284977
          19    0.285004
          20    0.284843
