#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.344073    0.344073           0
           2    0.346265    0.345169 0.000775235
           3    0.345694    0.345344 0.000536197
           4    0.344991    0.345256 0.000409342
           5    0.343964    0.344997 0.000400799
           6    0.345403    0.345065  0.00033965
           7    0.345943     0.34519  0.00031346
           8    0.343607    0.344992 0.000330924
           9    0.347902    0.345316 0.000423616
          10    0.342636    0.345048 0.000458234
          11    0.347941    0.345311 0.000486218
          12    0.344907    0.345277  0.00044686
          13    0.345208    0.345272 0.000412518
          14    0.343983     0.34518 0.000393191
          15    0.346833     0.34529 0.000382121
          16    0.346164    0.345345 0.000362125
          17    0.343078    0.345211  0.00036455
          18    0.345169    0.345209 0.000344305
          19    0.345337    0.345216  0.00032625
          20    0.341583    0.345034 0.000356929
