#   N_BLOCK:  ACCEPTANCE:
           1     0.24422
           2    0.244145
           3    0.244366
           4    0.244322
           5    0.244077
           6    0.243862
           7    0.243824
           8    0.243687
           9     0.24382
          10    0.243777
          11    0.243706
          12    0.243832
          13    0.243876
          14    0.243777
          15    0.243759
          16    0.243681
          17    0.243652
          18    0.243817
          19    0.243948
          20    0.243874
