#   N_BLOCK:  ACCEPTANCE:
           1    0.421263
           2    0.421167
           3    0.421243
           4    0.421327
           5    0.421179
           6    0.421083
           7    0.421032
           8    0.421116
           9    0.421104
          10    0.421093
          11    0.421043
          12    0.421042
          13    0.420949
          14     0.42088
          15    0.420911
          16    0.420828
          17    0.420841
          18     0.42081
          19    0.420823
          20    0.420734
