#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.720367   -0.720367           0
           2   -0.723688   -0.722027  0.00117429
           3   -0.719849   -0.721301 0.000982021
           4   -0.722058    -0.72149 0.000754494
           5    -0.72022   -0.721236 0.000644942
           6   -0.723469   -0.721608 0.000635794
           7   -0.723579    -0.72189 0.000604057
           8   -0.724164   -0.722174 0.000591661
           9   -0.719445   -0.721871 0.000598602
          10   -0.724011   -0.722085 0.000575727
          11   -0.720488    -0.72194 0.000541385
          12   -0.722063    -0.72195 0.000496367
          13   -0.721903   -0.721946 0.000458198
          14   -0.722702      -0.722 0.000428634
          15    -0.72204   -0.722003 0.000400067
          16   -0.720637   -0.721918  0.00038406
          17    -0.72136   -0.721885 0.000362868
          18   -0.720029   -0.721782 0.000357051
          19   -0.718398   -0.721604 0.000380097
          20   -0.722367   -0.721642 0.000363002
