#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.572632   -0.572632           0
           2   -0.575844   -0.574238  0.00113561
           3   -0.574172   -0.574216 0.000757289
           4    -0.57346   -0.574027 0.000591081
           5   -0.573168   -0.573855 0.000497206
           6   -0.575008   -0.574047 0.000449932
           7   -0.575656   -0.574277 0.000440452
           8    -0.57456   -0.574313 0.000386812
           9   -0.570708   -0.573912 0.000510685
          10    -0.57236   -0.573757 0.000482624
          11   -0.575672   -0.573931 0.000469104
          12   -0.574148   -0.573949 0.000430361
          13   -0.575636   -0.574079 0.000416362
          14   -0.573584   -0.574043 0.000388119
          15   -0.571244   -0.573857 0.000404634
          16   -0.576208   -0.574004 0.000405151
          17   -0.576224   -0.574134 0.000401818
          18   -0.574568   -0.574158 0.000380216
          19   -0.572488   -0.574071  0.00037023
          20   -0.576144   -0.574174 0.000365946
