#   N_BLOCK:  ACCEPTANCE:
           1    0.245598
           2     0.24572
           3    0.246187
           4    0.246507
           5    0.246522
           6    0.246451
           7    0.246292
           8     0.24623
           9    0.246436
          10    0.246416
          11    0.246325
          12    0.246422
          13    0.246459
          14    0.246412
          15    0.246433
          16    0.246384
          17    0.246398
          18    0.246497
          19    0.246544
          20    0.246485
