#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.423385    0.423385           0
           2     0.41183    0.417607  0.00408521
           3     0.41022    0.415145  0.00338518
           4    0.422923    0.417089  0.00304656
           5    0.413689    0.416409  0.00251203
           6    0.415978    0.416337  0.00209439
           7    0.429221    0.418178  0.00247511
           8     0.40203    0.416159  0.00287326
           9    0.420003    0.416586  0.00258555
          10    0.416798    0.416608  0.00232708
          11    0.416094    0.416561    0.002116
          12     0.41247     0.41622  0.00196694
          13    0.422113    0.416673  0.00186715
          14    0.415664    0.416601  0.00173517
          15    0.423758    0.417078  0.00168381
          16    0.400667    0.416053    0.001865
          17    0.412141    0.415823  0.00176943
          18    0.420309    0.416072  0.00168859
          19    0.417894    0.416168  0.00160244
          20    0.410053    0.415862  0.00155121
