#   N_BLOCK:  ACCEPTANCE:
           1      0.2788
           2    0.279578
           3    0.279288
           4    0.279297
           5    0.279297
           6    0.279282
           7    0.279302
           8    0.279336
           9    0.279454
          10    0.279489
          11    0.279432
          12    0.279401
          13    0.279406
          14    0.279427
          15    0.279456
          16    0.279438
          17    0.279368
          18    0.279307
          19    0.279305
          20    0.279317
