#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0019552   0.0019552           0
           2   0.0017424   0.0018488 7.52362e-05
           3  -0.0025804   0.0003724  0.00120652
           4  -0.0015148   -9.94e-05  0.00099286
           5   0.0003732   -4.88e-06 0.000798774
           6   0.0021612 0.000356133  0.00074276
           7  -0.0054248-0.000469714 0.000994946
           8  -0.0015652 -0.00060665  0.00087995
           9    -0.00724 -0.00134369  0.00104627
          10  -0.0082744 -0.00203676  0.00114848
          11  -0.0042668 -0.00223949  0.00106181
          12   0.0026572 -0.00183143  0.00104881
          13   0.0027436 -0.00147951  0.00102548
          14  -0.0011756  -0.0014578 0.000952458
          15   0.0038884 -0.00110139 0.000953317
          16   0.0017192  -0.0009251 0.000909888
          17  -0.0088068 -0.00138873   0.0009673
          18    0.005804-0.000989133 0.000992673
          19   -0.001214 -0.00100097 0.000940498
          20   0.0019696 -0.00085244 0.000905125
