#   N_BLOCK:  ACCEPTANCE:
           1    0.317751
           2    0.317712
           3    0.317444
           4    0.317318
           5    0.317253
           6    0.317249
           7    0.317365
           8    0.317548
           9    0.317634
          10    0.317681
          11    0.317678
          12    0.317658
          13    0.317671
          14    0.317726
          15    0.317764
          16    0.317799
          17    0.317797
          18    0.317713
          19    0.317742
          20    0.317762
