#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.367088    0.367088           0
           2    0.366081    0.366584 0.000355958
           3    0.369992     0.36772 0.000957192
           4    0.370185    0.368336 0.000894467
           5    0.373792    0.369427  0.00121012
           6    0.375157    0.370382  0.00133297
           7    0.368594    0.370127  0.00116678
           8    0.369928    0.370102  0.00102119
           9    0.366934     0.36975 0.000966501
          10    0.369219    0.369697  0.00087131
          11    0.367461    0.369493 0.000815459
          12    0.371694    0.369677 0.000767839
          13    0.374519    0.370049 0.000793979
          14    0.372811    0.370247 0.000761382
          15    0.369758    0.370214 0.000711319
          16    0.369699    0.370182 0.000667591
          17    0.368902    0.370107  0.00063255
          18    0.372928    0.370263 0.000616527
          19    0.371833    0.370346 0.000589587
          20    0.370817    0.370369 0.000560578
