#   N_BLOCK:  ACCEPTANCE:
           1    0.517319
           2    0.517339
           3    0.517284
           4    0.517297
           5    0.517282
           6    0.517266
           7    0.517275
           8    0.517257
           9    0.517236
          10     0.51726
          11    0.517326
          12    0.517341
          13     0.51736
          14    0.517362
          15    0.517343
          16    0.517352
          17    0.517346
          18     0.51737
          19    0.517357
          20    0.517366
