#   N_BLOCK:  ACCEPTANCE:
           1    0.451397
           2    0.451285
           3    0.451324
           4    0.451377
           5     0.45143
           6    0.451388
           7    0.451378
           8    0.451492
           9    0.451569
          10    0.451595
          11    0.451574
          12    0.451561
          13    0.451425
          14    0.451292
          15    0.451307
          16    0.451219
          17    0.451213
          18     0.45122
          19    0.451241
          20    0.451215
