#   N_BLOCK:  ACCEPTANCE:
           1    0.381432
           2    0.381466
           3    0.381472
           4    0.381439
           5     0.38148
           6    0.381534
           7    0.381508
           8    0.381443
           9    0.381467
          10    0.381509
          11     0.38156
          12    0.381548
          13    0.381537
          14    0.381489
          15    0.381472
          16     0.38145
          17    0.381459
          18    0.381492
          19    0.381481
          20    0.381469
