#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.07908     3.07908           0
           2     3.10871      3.0939   0.0104775
           3     3.02479     3.07086   0.0200633
           4     3.07346     3.07151    0.015058
           5     3.07789     3.07279   0.0121003
           6     3.04987     3.06897   0.0106696
           7     3.17231     3.08373   0.0164451
           8     3.15333     3.09243   0.0165316
           9     3.05504     3.08828   0.0152079
          10     3.04016     3.08346   0.0144282
          11     3.08012     3.08316   0.0131198
          12     3.14497     3.08831   0.0129982
          13     3.12401     3.09106    0.012285
          14       3.093     3.09119   0.0114083
          15     3.04873     3.08836   0.0109933
          16      3.1294     3.09093   0.0106012
          17     3.04738     3.08837   0.0102824
          18     3.11776        3.09  0.00983997
          19     3.10529     3.09081  0.00935494
          20     3.10626     3.09158  0.00891906
