#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         194        2.56     1.07732      0.1031
         195        3.24     1.08841    0.103166
         196        1.96     1.09286    0.102736
         197        1.96     1.09726    0.102308
         198        0.04     1.09192    0.101931
         199        0.16     1.08724    0.101526
         200        0.16      1.0826    0.101125
         201        0.16     1.07801    0.100726
         202        0.36     1.07446     0.10029
         203        0.16     1.06995   0.0998967
         204           1     1.06961   0.0994076
         205        0.16     1.06517   0.0990216
         206        0.16     1.06078   0.0986384
         207           0     1.05565   0.0982949
         208           1     1.05538   0.0978227
         209        0.04     1.05053   0.0974752
         210        1.44     1.05238   0.0970287
         211           1     1.05213   0.0965691
         212        0.16     1.04792   0.0962053
         213        0.64     1.04601   0.0957727
         214           0     1.04112   0.0954498
         215        2.56     1.04819   0.0952669
         216        0.36       1.045   0.0948791
         217        0.04     1.04037   0.0945548
         218        0.04     1.03578   0.0942324
         219        0.04     1.03123   0.0939117
         220        0.64     1.02945   0.0935017
         221        0.04     1.02498   0.0931857
         222        0.16     1.02108   0.0928474
         223           0      1.0165   0.0925439
         224        0.04     1.01214   0.0922334
         225           1     1.01209   0.0918235
         226        2.56     1.01894   0.0916722
         227        1.96     1.02308   0.0913621
         228        0.36     1.02018   0.0910077
         229        0.36     1.01729   0.0906559
         230        0.04     1.01304   0.0903613
         231        0.04     1.00883   0.0900682
         232        0.16     1.00517   0.0897543
         233           0     1.00086   0.0894727
         234           0    0.996581   0.0891925
         235        0.04    0.992511   0.0889058
         236           0    0.988305   0.0886285
         237        0.04    0.984304   0.0883448
         238        0.04    0.980336   0.0880627
         239        3.24    0.989791   0.0882003
         240           9     1.02317   0.0939356
         241        6.76     1.04697   0.0965149
         242        0.64     1.04529   0.0961307
         243        0.36     1.04247   0.0957765
         244        0.04     1.03836    0.095472
         245        0.36     1.03559   0.0951225
         246        1.96     1.03935     0.09481
         247        0.04      1.0353   0.0945124
         248        1.96     1.03903   0.0942049
         249        3.24     1.04787   0.0942403
         250        6.76     1.07072   0.0965934
         251        1.44     1.07219   0.0962198
         252        3.24     1.08079   0.0962218
         253        2.56     1.08664   0.0960189
         254           1      1.0863   0.0956415
         255        0.16     1.08267   0.0953354
         256           4     1.09406   0.0956416
         257        6.76     1.11611   0.0977775
         258        3.24     1.12434   0.0977444
         259        5.76     1.14224   0.0989922
         260           1     1.14169   0.0986129
         261        2.56     1.14713   0.0983847
         262           1     1.14656   0.0980108
         263           0     1.14221    0.097735
         264        0.16     1.13848   0.0974356
         265           1     1.13796   0.0970693
         266           0     1.13368   0.0967986
         267        0.04     1.12959   0.0965227
         268        0.16     1.12597   0.0962304
         269        0.16     1.12238   0.0959396
         270       11.56     1.16104    0.103079
         271        2.56      1.1662    0.102828
         272        1.44     1.16721    0.102455
         273        0.04     1.16308    0.102162
         274        1.44     1.16409    0.101795
         275        1.96     1.16698    0.101466
         276        1.44     1.16797    0.101103
         277        1.44     1.16895    0.100743
         278        0.36     1.16604    0.100422
         279        1.96     1.16889    0.100103
         280        2.56     1.17386   0.0998682
         281        0.16     1.17025    0.099578
         282        0.64     1.16837   0.0992426
         283        0.36     1.16551    0.098933
         284        0.64     1.16366    0.098602
         285           0     1.15958   0.0983405
         286           0     1.15552   0.0980802
         287           1     1.15498     0.09774
         288        0.36     1.15222   0.0974395
         289        0.04     1.14837   0.0971784
         290        2.56     1.15324   0.0969651
         291        4.84     1.16591    0.097456
         292        1.96     1.16863   0.0971602
         293        0.04     1.16478   0.0969049
         294           0     1.16082   0.0966563
         295        1.96     1.16353   0.0963666
         296        1.96     1.16622   0.0960786
         297        0.16     1.16283   0.0958148
         298        0.36     1.16013   0.0955312
         299        0.16     1.15679   0.0952702
         300           0     1.15293   0.0950306
         301           1     1.15243   0.0947163
         302        0.36      1.1498    0.094439
         303           0     1.14601   0.0942035
         304        0.36     1.14342   0.0939291
         305        0.16      1.1402   0.0936765
         306        0.16     1.13699   0.0934251
         307        1.44     1.13798    0.093126
         308        0.04     1.13442   0.0928918
         309        0.64     1.13282    0.092605
         310           1     1.13239   0.0923073
         311           1     1.13196   0.0920114
         312           0     1.12833    0.091788
         313        0.36     1.12588   0.0915276
         314        0.36     1.12344   0.0912686
         315        0.04        1.12   0.0910436
         316           0     1.11646   0.0908245
         317        1.44     1.11748   0.0905437
         318        0.16     1.11447    0.090309
         319        0.04      1.1111   0.0900887
         320           1     1.11075   0.0898079
         321        0.36     1.10841   0.0895585
         322        1.96     1.11106   0.0893194
         323        2.56     1.11554   0.0891555
         324        0.64     1.11407   0.0888924
         325        0.16     1.11114   0.0886673
         326           1      1.1108    0.088396
         327        0.36      1.1085   0.0881555
         328        2.56     1.11293   0.0879977
         329        4.84     1.12426   0.0884565
         330        4.84     1.13552   0.0889022
         331        0.36     1.13317   0.0886644
         332        0.04     1.12988   0.0884585
         333        0.16     1.12697   0.0882408
         334        0.04     1.12371   0.0880366
         335        0.16     1.12084   0.0878208
         336        0.36     1.11857   0.0875886
         337        0.64     1.11715   0.0873402
         338        0.36     1.11491   0.0871105
         339        3.24     1.12118   0.0870788
         340        2.56     1.12541   0.0869255
         341           4     1.13384   0.0870784
         342           4     1.14222   0.0872261
         343        4.84       1.153   0.0876355
         344        3.24     1.15907   0.0875905
         345        0.04     1.15583   0.0873966
         346        0.64     1.15434   0.0871567
         347        0.04     1.15112   0.0869647
         348        0.64     1.14966   0.0867272
         349        1.44     1.15049   0.0864827
         350        3.24     1.15646   0.0864414
         351        1.96     1.15875   0.0862255
         352        0.36     1.15648   0.0860104
         353        0.16     1.15365    0.085813
         354        3.24     1.15955   0.0857728
         355        0.64     1.15808   0.0855436
         356        1.44     1.15888    0.085307
         357        0.64     1.15742   0.0850804
         358           1     1.15698   0.0848439
         359        0.64     1.15554   0.0846198
         360        0.04     1.15244   0.0844415
         361        0.04     1.14936   0.0842638
         362        0.16     1.14663   0.0840753
         363           4     1.15449   0.0842103
         364        0.16     1.15176   0.0840233
         365        1.96     1.15397   0.0838223
         366           4     1.16175   0.0839532
         367        1.96     1.16392   0.0837526
         368        2.56     1.16772   0.0836109
         369        0.36     1.16553   0.0834129
         370           1     1.16508   0.0831887
         371        0.36     1.16291   0.0829928
         372        1.96     1.16505   0.0827973
         373        0.04     1.16204   0.0826303
         374        0.04     1.15904   0.0824638
         375        0.04     1.15605   0.0822978
         376        4.84     1.16585   0.0826601
         377        1.44     1.16658   0.0824441
         378        1.96     1.16868   0.0822527
         379           4     1.17615   0.0823742
         380           0     1.17305   0.0822155
         381        0.04     1.17008   0.0820535
         382           1     1.16963   0.0818399
         383        0.36     1.16752   0.0816536
         384           4      1.1749   0.0817734
         385           4     1.18223   0.0818896
         386        6.76     1.19668   0.0829426
         387        1.44     1.19731   0.0827306
         388           1      1.1968    0.082519
         389        0.04     1.19383   0.0823604
         390        0.16     1.19118   0.0821919
         391        0.16     1.18854    0.082024
         392        0.36     1.18643   0.0818419
         393           1     1.18595   0.0816351
         394        2.56     1.18944   0.0815023
         395        5.76     1.20101   0.0821133
         396        3.24     1.20616   0.0820672
         397        0.64     1.20474   0.0818729
         398        0.04     1.20181   0.0817194
         399        0.04      1.1989   0.0815665
         400        2.56      1.2023   0.0814335
         401        2.56     1.20569   0.0813008
         402        0.64     1.20428   0.0811107
         403        0.16     1.20169   0.0809508
         404           4     1.20861   0.0810463
         405           4     1.21551   0.0811387
         406        4.84     1.22443   0.0814285
         407           1     1.22388   0.0812303
         408        0.04     1.22098    0.081083
         409        0.36     1.21888   0.0809121
         410        2.56     1.22215   0.0807808
         411        1.44     1.22268    0.080586
         412        1.96     1.22447   0.0804103
         413        0.04      1.2216   0.0802667
         414        0.16     1.21903   0.0801138
         415        0.04     1.21619   0.0799711
         416        0.04     1.21337   0.0798288
         417        0.04     1.21055   0.0796869
         418           0     1.20766   0.0795489
         419        0.04     1.20487   0.0794079
         420        0.04      1.2021   0.0792672
         421        0.16     1.19962   0.0791176
         422           0     1.19678   0.0789811
         423        0.64     1.19546   0.0788054
         424        0.36     1.19349   0.0786442
         425        0.36     1.19153   0.0784836
         426           0     1.18873   0.0783492
         427        0.64     1.18745   0.0781762
         428           1     1.18701   0.0779948
         429        0.16     1.18462   0.0778497
         430        0.36      1.1827   0.0776923
         431        0.04     1.18005   0.0775572
         432        4.84     1.18852   0.0778391
         433           9     1.20656   0.0797225
         434        7.84     1.22184   0.0809907
         435       12.96     1.24883   0.0851812
         436        0.36     1.24679   0.0850103
         437        0.04     1.24403   0.0848606
         438        0.16     1.24155   0.0847029
         439        0.64     1.24018    0.084521
         440        0.64     1.23882     0.08434
         441        0.36     1.23683   0.0841722
         442        0.64     1.23548   0.0839926
         443        3.24        1.24   0.0839248
         444        0.16     1.23757   0.0837711
         445        0.04     1.23488    0.083626
         446        0.64     1.23354   0.0834492
         447        1.44       1.234   0.0832638
         448        0.36     1.23205   0.0831007
         449        1.44     1.23252    0.082917
         450           1       1.232   0.0827343
         451        3.24     1.23645   0.0826706
         452           1     1.23593   0.0824893
         453        0.16     1.23355   0.0823414
         454        2.56     1.23648   0.0822119
         455        0.04     1.23385   0.0820732
         456        0.04     1.23123    0.081935
         457        0.64     1.22993   0.0817659
         458        0.36     1.22803   0.0816094
         459        0.64     1.22675   0.0814417
         460        0.64     1.22548   0.0812746
         461        1.96     1.22707    0.081114
         462        1.44     1.22753   0.0809397
         463        5.76     1.23732   0.0813547
         464        0.64     1.23603   0.0811896
         465           1     1.23553   0.0810166
         466        3.24     1.23983   0.0809568
         467        1.44     1.24026   0.0807846
         468           1     1.23974   0.0806136
         469           1     1.23923   0.0804433
         470        1.44     1.23966   0.0802733
         471           4     1.24552   0.0803165
         472        1.96     1.24703   0.0801606
         473        1.96     1.24854   0.0800053
         474        0.64     1.24726   0.0798469
         475        0.36     1.24539   0.0797006
         476        0.16     1.24311   0.0795658
         477        0.16     1.24084   0.0794314
         478        0.36       1.239   0.0792866
         479           0     1.23641   0.0791632
         480        0.36     1.23458   0.0790193
         481        0.04      1.2321   0.0788941
         482        1.96     1.23361   0.0787449
         483        0.04     1.23114   0.0786206
         484        0.04     1.22868   0.0784967
         485        0.64     1.22746   0.0783442
         486           0     1.22494   0.0782237
         487        0.64     1.22374   0.0780723
         488        0.64     1.22254   0.0779215
         489        0.04     1.22012   0.0777996
         490        0.04     1.21771   0.0776781
         491        0.36     1.21597   0.0775396
         492        0.04     1.21358   0.0774188
         493           1     1.21314    0.077263
         494        0.64     1.21198   0.0771153
         495        0.16     1.20986   0.0769888
         496           1     1.20944   0.0768347
         497        0.16     1.20732   0.0767091
         498           1     1.20691   0.0765562
         499        1.44     1.20737   0.0764042
         500        1.44     1.20784   0.0762528
         501           1     1.20743   0.0761018
         502        0.64     1.20629   0.0759586
         503           1     1.20588   0.0758087
         504        0.16     1.20381   0.0756866
         505        1.96     1.20531   0.0755516
         506        1.96      1.2068    0.075417
         507           1     1.20639   0.0752693
         508        0.64     1.20528   0.0751294
         509        0.16     1.20322   0.0750099
         510           0     1.20086   0.0748999
         511        0.64     1.19977   0.0747614
         512        2.56     1.20242   0.0746625
         513        0.64     1.20133    0.074525
         514        1.96      1.2028   0.0743947
         515        0.04     1.20054   0.0742845
         516        0.16     1.19853   0.0741679
         517           0     1.19621   0.0740606
         518        0.04     1.19398   0.0739513
         519        0.64     1.19291   0.0738165
         520           0     1.19062   0.0737102
         521        0.04     1.18841   0.0736018
         522           1     1.18805   0.0734617
         523           4     1.19342   0.0735177
         524        3.24     1.19733   0.0734811
         525        3.24     1.20122    0.073444
         526           1     1.20084   0.0733054
         527           0     1.19856   0.0732017
         528        0.04     1.19636    0.073096
         529        0.16      1.1944    0.072984
         530           4      1.1997    0.073038
         531        0.16     1.19774   0.0729267
         532        3.24     1.20158   0.0728906
         533        0.36         1.2    0.072771
         534        0.16     1.19805   0.0726607
         535        2.56      1.2006   0.0725695
         536        1.96     1.20201    0.072448
         537           4     1.20723   0.0725002
         538        1.96     1.20862   0.0723789
         539        0.36     1.20705   0.0722617
         540        0.16     1.20511   0.0721539
         541        3.24     1.20887   0.0721185
         542        2.56     1.21137   0.0720285
         543        5.76     1.21974   0.0723814
         544        1.44     1.22015   0.0722494
         545        0.04     1.21798   0.0721493
         546        0.36     1.21641   0.0720343
         547           1     1.21601   0.0719037
         548           0      1.2138   0.0718067
         549           1     1.21341    0.071677
         550        0.64     1.21236   0.0715542
         551        0.16     1.21045   0.0714499
         552        0.04     1.20833   0.0713519
         553        4.84      1.2149   0.0715244
         554        0.16       1.213   0.0714207
         555        0.64     1.21196   0.0712994
         556        0.04     1.20986   0.0712024
         557        1.96      1.2112   0.0710873
         558        0.64     1.21018   0.0709672
         559        0.36     1.20866   0.0708566
         560        0.04     1.20657   0.0707608
         561           1      1.2062   0.0706356
         562        0.16     1.20434   0.0705344
         563        0.16     1.20249   0.0704335
         564        0.04     1.20043   0.0703388
         565           1     1.20007   0.0702152
         566        0.04     1.19802   0.0701211
         567        5.76     1.20607   0.0704575
         568        5.76     1.21408   0.0707881
         569        3.24     1.21764   0.0707532
         570           0     1.21551   0.0706613
         571        0.16     1.21366   0.0705617
         572           0     1.21154   0.0704703
         573        2.56     1.21389   0.0703866
         574        4.84     1.22021   0.0705469
         575        5.76      1.2281   0.0708646
         576        3.24      1.2316   0.0708276
         577           0     1.22946    0.070737
         578        0.64     1.22844    0.070622
         579           0     1.22632   0.0705319
         580        0.16     1.22448   0.0704342
         581        0.04     1.22244   0.0703425
         582        0.36     1.22096   0.0702372
