#   N_BLOCK:  ACCEPTANCE:
           1    0.344846
           2    0.344668
           3    0.344849
           4    0.345043
           5    0.344694
           6    0.344686
           7    0.344787
           8    0.344691
           9     0.34473
          10    0.344679
          11    0.344605
          12    0.344643
          13      0.3445
          14    0.344482
          15    0.344545
          16    0.344502
          17    0.344506
          18    0.344509
          19    0.344529
          20    0.344374
