#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.900969   -0.900969           0
           2   -0.897771    -0.89937  0.00113058
           3   -0.896624   -0.898455   0.0010615
           4    -0.89733   -0.898173 0.000832525
           5   -0.896348   -0.897808 0.000741799
           6   -0.894059   -0.897183 0.000841116
           7   -0.895452   -0.896936 0.000756444
           8   -0.896667   -0.896902 0.000662635
           9   -0.891453   -0.896297 0.000820279
          10   -0.894415   -0.896109 0.000759535
          11   -0.892755   -0.895804 0.000749166
          12   -0.894194    -0.89567 0.000698645
          13   -0.895638   -0.895667 0.000644907
          14   -0.901438   -0.896079  0.00071859
          15   -0.895241   -0.896024 0.000672854
          16   -0.901152   -0.896344 0.000703009
          17   -0.898449   -0.896468 0.000672476
          18   -0.897713   -0.896537 0.000638663
          19   -0.902448   -0.896848 0.000676602
          20    -0.89809    -0.89691 0.000645613
