#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         180         1.6      1.6037    0.141883
         181    0.711111     1.59877    0.141184
         182   0.0444444     1.59023    0.140667
         183     2.17778     1.59344    0.139935
         184         6.4     1.61957    0.141592
         185         3.6     1.63027     0.14123
         186     2.84444      1.6368    0.140622
         187     2.17778     1.63969    0.139899
         188     1.11111     1.63688    0.139184
         189    0.711111     1.63198    0.138533
         190    0.711111     1.62713    0.137889
         191     1.11111     1.62443    0.137194
         192         0.4     1.61806    0.136627
         193   0.0444444      1.6099    0.136162
         194           0      1.6016    0.135713
         195    0.177778      1.5943    0.135213
         196   0.0444444     1.58639    0.134754
         197     2.17778      1.5894    0.134104
         198     1.11111     1.58698    0.133448
         199         1.6     1.58705    0.132778
         200     2.84444     1.59333    0.132263
         201    0.177778     1.58629    0.131792
         202     2.17778     1.58922    0.131172
         203     2.17778     1.59212    0.130558
         204         3.6     1.60196    0.130288
         205   0.0444444     1.59436    0.129874
         206     1.11111     1.59202    0.129265
         207         0.4     1.58626    0.128769
         208         1.6     1.58632     0.12815
         209     1.11111     1.58405    0.127557
         210           0     1.57651    0.127172
         211    0.711111     1.57241    0.126635
         212   0.0444444      1.5652    0.126243
         213     1.11111     1.56307    0.125668
         214    0.711111     1.55909    0.125144
         215   0.0444444     1.55204     0.12476
         216    0.177778     1.54568    0.124345
         217         0.4      1.5404    0.123884
         218    0.711111      1.5366    0.123374
         219     1.11111     1.53465    0.122826
         220   0.0444444     1.52788    0.122454
         221         0.4     1.52278    0.122006
         222    0.711111     1.51912    0.121512
         223   0.0444444     1.51251    0.121147
         224    0.177778     1.50655    0.120752
         225     4.44444      1.5196    0.120919
         226     5.37778     1.53668    0.121583
         227     4.44444     1.54949    0.121721
         228    0.177778     1.54347    0.121335
         229         0.4     1.53848    0.120908
         230         3.6     1.54744    0.120714
         231    0.711111     1.54382    0.120246
         232    0.177778     1.53793    0.119872
         233     1.11111      1.5361    0.119371
         234           0     1.52953    0.119042
         235           0     1.52303    0.118713
         236         0.4     1.51827    0.118305
         237   0.0444444     1.51205    0.117969
         238         3.6     1.52082    0.117799
         239    0.177778      1.5152     0.11744
         240     1.11111     1.51352    0.116963
         241    0.711111     1.51019    0.116525
         242    0.711111     1.50689    0.116091
         243    0.177778     1.50142    0.115742
         244   0.0444444     1.49545    0.115421
         245         0.4     1.49098    0.115037
         246         0.4     1.48654    0.114654
         247     4.44444     1.49852    0.114814
         248     5.37778     1.51416    0.115412
         249     7.51111     1.53824    0.117434
         250     2.17778      1.5408    0.116992
         251         0.4     1.53625    0.116614
         252     1.11111     1.53457    0.116164
         253   0.0444444     1.52868    0.115854
         254    0.177778     1.52336     0.11552
         255   0.0444444     1.51756    0.115212
         256         0.4     1.51319    0.114845
         257     4.44444      1.5246    0.114963
         258     2.17778     1.52713    0.114545
         259    0.711111     1.52398    0.114146
         260           0     1.51812    0.113858
         261         1.6     1.51843    0.113422
         262   0.0444444     1.51281    0.113129
         263     1.11111     1.51128    0.112709
         264     1.11111     1.50976    0.112292
         265         1.6      1.5101    0.111869
         266         6.4     1.52849    0.112948
         267     4.44444     1.53941    0.113052
         268     7.51111     1.56169    0.114805
         269     1.11111     1.56002    0.114391
         270         0.4     1.55572    0.114048
         271         0.4     1.55146    0.113707
         272     1.11111     1.54984      0.1133
         273         3.6     1.55735    0.113134
         274         6.4     1.57502    0.114093
         275     4.44444     1.58545    0.114154
         276         0.4     1.58116    0.113821
         277         0.4      1.5769     0.11349
         278     1.11111     1.57522    0.113094
         279    0.177778     1.57021      0.1128
         280    0.177778     1.56524    0.112507
         281           0     1.55967    0.112244
         282    0.711111     1.55666    0.111886
         283         3.6     1.56388    0.111724
         284         3.6     1.57105     0.11156
         285         1.6     1.57115    0.111169
         286    0.711111     1.56814    0.110821
         287         0.4     1.56407    0.110509
         288     2.17778      1.5662    0.110146
         289     1.11111     1.56463    0.109776
         290         0.4     1.56061    0.109471
         291     2.17778     1.56273    0.109115
         292   0.0444444     1.55753    0.108866
         293     1.11111     1.55601    0.108505
         294         0.4     1.55208    0.108207
         295    0.177778     1.54742     0.10794
         296         1.6      1.5476    0.107576
         297           0     1.54239     0.10734
         298         6.4     1.55869     0.10821
         299         1.6     1.55883    0.107848
         300         3.6     1.56563    0.107703
         301         3.6     1.57239    0.107557
         302         1.6     1.57248    0.107201
         303    0.177778     1.56788    0.106946
         304         3.6     1.57456    0.106803
         305     4.44444     1.58397    0.106867
         306         3.6     1.59056     0.10672
