#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.002284    0.002284           0
           2     0.00048    0.001382  0.00063781
           3    -1.8e-05 0.000915333 0.000570952
           4   -0.007896  -0.0012875  0.00195518
           5   -0.011578  -0.0033456  0.00241561
           6    0.005334   -0.001899   0.0024075
           7    -0.01126 -0.00323629  0.00240649
           8   -0.006604 -0.00365725  0.00214218
           9     0.00787 -0.00237644  0.00225478
          10   -0.002148  -0.0023536  0.00202942
          11     0.01332-0.000928727  0.00229116
          12   -0.001198-0.000951167  0.00210034
          13   -0.007922 -0.00148738  0.00200606
          14   -0.000814 -0.00143929  0.00186335
          15    0.004652  -0.0010332  0.00178282
          16    0.009614 -0.00036775  0.00179129
          17   -0.010648-0.000972471  0.00178508
          18    0.005522-0.000611667  0.00172198
          19   -0.004256-0.000803474    0.001642
          20    0.005192  -0.0005037  0.00158703
