sigma,mu,exp_H,error,acceptance
0.600358,0.717543,-0.418494,0.00248424,0.79296
0.608969,0.715277,-0.422864,0.00243835,0.79552
0.608969,0.715277,-0.422864,0.00243835,0.7983
0.608969,0.715277,-0.422864,0.00243835,0.79358
0.608969,0.715277,-0.422864,0.00243835,0.79906
0.611819,0.714285,-0.416691,0.00269137,0.80115
0.617712,0.710761,-0.416791,0.00250096,0.80447
0.621776,0.701981,-0.415507,0.00287905,0.80416
0.612245,0.708751,-0.415289,0.00248955,0.80185
0.605765,0.711796,-0.417643,0.00274901,0.79752
0.612967,0.709124,-0.412856,0.00205001,0.80035
0.612967,0.709124,-0.412856,0.00205001,0.80337
0.611462,0.71043,-0.41946,0.00272341,0.79931
0.611462,0.71043,-0.41946,0.00272341,0.80303
0.613523,0.718346,-0.419058,0.0027621,0.80102
0.60465,0.712344,-0.409507,0.00245542,0.79763
0.614408,0.714245,-0.416815,0.00284174,0.79962
0.612294,0.705704,-0.416999,0.00243509,0.79916
0.612294,0.705704,-0.416999,0.00243509,0.80371
0.612294,0.705704,-0.416999,0.00243509,0.80147
0.612294,0.705704,-0.416999,0.00243509,0.80526
0.603184,0.706413,-0.412327,0.00247214,0.79685
0.597571,0.700208,-0.409568,0.00281678,0.79624
0.596871,0.700042,-0.411449,0.00312373,0.79352
0.605319,0.69078,-0.396994,0.00297952,0.79923
0.605821,0.687615,-0.394659,0.00283843,0.80166
0.612673,0.686621,-0.402895,0.00278389,0.80042
0.60586,0.681369,-0.393479,0.00289552,0.79989
0.604631,0.685882,-0.393101,0.00287209,0.79911
0.604631,0.685882,-0.393101,0.00287209,0.79615
0.604631,0.685882,-0.393101,0.00287209,0.79936
0.607684,0.692107,-0.404438,0.00288279,0.80113
0.603005,0.694275,-0.408045,0.00274869,0.79874
0.602516,0.698905,-0.405158,0.00292525,0.7982
0.607638,0.698841,-0.407866,0.0025948,0.79999
0.598259,0.702288,-0.411034,0.00258651,0.79427
0.598259,0.702288,-0.411034,0.00258651,0.79998
0.595463,0.710026,-0.410367,0.00261473,0.79429
0.595203,0.719855,-0.419303,0.00244115,0.79049
0.585453,0.723785,-0.412964,0.00242739,0.78424
0.59415,0.726123,-0.425874,0.00252617,0.78867
0.589041,0.72493,-0.418799,0.00247949,0.789
0.589041,0.72493,-0.418799,0.00247949,0.78163
0.596747,0.719844,-0.419819,0.00239909,0.7918
0.603211,0.724545,-0.425657,0.00231967,0.79374
0.610818,0.73091,-0.425653,0.00287823,0.79965
0.612964,0.728426,-0.426427,0.00211465,0.7974
0.612964,0.728426,-0.426427,0.00211465,0.8019
0.611514,0.727424,-0.4287,0.00234054,0.79615
0.603133,0.735175,-0.427575,0.00228382,0.79382
0.600623,0.72904,-0.42427,0.00257292,0.79473
0.609084,0.729022,-0.427493,0.00223677,0.79791
0.609084,0.729022,-0.427493,0.00223677,0.79349
0.609084,0.729022,-0.427493,0.00223677,0.79698
0.614033,0.738457,-0.430098,0.00228095,0.79615
0.61855,0.730547,-0.426483,0.00275078,0.80166
0.61855,0.730547,-0.426483,0.00275078,0.80178
0.616097,0.735708,-0.42902,0.00269961,0.79645
0.616097,0.735708,-0.42902,0.00269961,0.80011
0.609218,0.74096,-0.429468,0.0020218,0.79565
0.610311,0.738037,-0.42699,0.00238228,0.7954
0.601162,0.744354,-0.429873,0.00269642,0.79037
0.59419,0.753166,-0.433019,0.00216363,0.78122
0.59419,0.753166,-0.433019,0.00216363,0.78981
0.600663,0.750959,-0.43335,0.00243813,0.78562
0.600663,0.750959,-0.43335,0.00243813,0.78746
0.602526,0.755006,-0.43743,0.0024248,0.78471
0.605598,0.745095,-0.433641,0.00217296,0.78991
0.598302,0.743916,-0.432818,0.00255656,0.78642
0.595353,0.736589,-0.429643,0.00235154,0.78614
0.595353,0.736589,-0.429643,0.00235154,0.78435
0.588211,0.745291,-0.43025,0.00223026,0.78186
0.59566,0.742507,-0.428285,0.00238619,0.7842
0.592594,0.75128,-0.433282,0.00207017,0.77968
0.583632,0.745619,-0.42675,0.00247082,0.77742
0.583632,0.745619,-0.42675,0.00247082,0.77436
0.587509,0.75361,-0.428822,0.00224388,0.77859
0.579307,0.744747,-0.426243,0.00266286,0.77037
0.579307,0.744747,-0.426243,0.00266286,0.77395
0.584954,0.744064,-0.424611,0.00237671,0.77741
0.582593,0.744469,-0.423886,0.002686,0.77429
0.582593,0.744469,-0.423886,0.002686,0.78297
0.577679,0.753617,-0.425763,0.00252049,0.76982
0.587166,0.763438,-0.431001,0.00238779,0.77639
0.582777,0.770519,-0.432608,0.00227119,0.7673
0.582777,0.770519,-0.432608,0.00227119,0.76605
0.574999,0.77961,-0.429609,0.00259624,0.75571
0.58208,0.776206,-0.428826,0.00221579,0.76117
0.586791,0.766657,-0.434338,0.0018266,0.77337
0.586791,0.766657,-0.434338,0.0018266,0.7649
0.592546,0.767781,-0.437381,0.00210835,0.77609
0.592546,0.767781,-0.437381,0.00210835,0.78264
0.592546,0.767781,-0.437381,0.00210835,0.7674
0.597938,0.767219,-0.436067,0.00224266,0.77892
0.599836,0.77698,-0.438232,0.00236057,0.7788
0.598485,0.772832,-0.441407,0.00208091,0.77681
0.598485,0.772832,-0.441407,0.00208091,0.77443
0.591951,0.773559,-0.438192,0.0019864,0.77216
0.596243,0.77833,-0.437584,0.00207416,0.77669
0.592647,0.781164,-0.438944,0.00192175,0.77289
