sigma,mu,exp_H,error,acceptance
0.689982,0.750142,-0.413397,0.00413425,0.81929
0.689982,0.750142,-0.413397,0.00413425,0.81777
0.685153,0.754507,-0.409691,0.00545853,0.82159
0.685153,0.754507,-0.409691,0.00545853,0.81969
0.67843,0.754467,-0.417935,0.00407754,0.81922
0.672419,0.748589,-0.414356,0.00429397,0.81751
0.664737,0.747982,-0.423544,0.00396241,0.81569
0.65585,0.747495,-0.432008,0.00234021,0.81343
0.65585,0.747495,-0.432008,0.00234021,0.81107
0.65585,0.747495,-0.432008,0.00234021,0.8158
0.654971,0.755019,-0.431014,0.00310364,0.81067
0.658021,0.756518,-0.430888,0.00351011,0.81616
0.664641,0.763852,-0.432394,0.0032179,0.81555
0.659879,0.755069,-0.425542,0.00347173,0.81429
0.655363,0.757509,-0.432643,0.00286793,0.81329
0.660958,0.757209,-0.428536,0.003854,0.81281
0.670026,0.760809,-0.422383,0.00385756,0.81592
0.673696,0.752128,-0.423257,0.00350138,0.81581
0.673696,0.752128,-0.423257,0.00350138,0.81752
0.673696,0.752128,-0.423257,0.00350138,0.82029
0.664744,0.747315,-0.429013,0.00288613,0.81434
0.664744,0.747315,-0.429013,0.00288613,0.81636
0.664153,0.738242,-0.421463,0.00299946,0.81503
0.666818,0.74339,-0.410944,0.00557405,0.81601
0.673001,0.741491,-0.419685,0.00434186,0.81333
0.680291,0.745321,-0.418306,0.0035029,0.81952
0.679629,0.749519,-0.417817,0.0037994,0.81772
0.685144,0.739824,-0.410132,0.00531204,0.81808
0.677862,0.741634,-0.41291,0.00367192,0.81819
0.679404,0.743364,-0.41967,0.00340242,0.81761
0.679404,0.743364,-0.41967,0.00340242,0.81928
0.679404,0.743364,-0.41967,0.00340242,0.81897
0.678674,0.737874,-0.415377,0.00376991,0.81762
0.671554,0.729103,-0.418135,0.00404102,0.81358
0.670331,0.736057,-0.418639,0.00376797,0.81474
0.672498,0.736299,-0.417014,0.00392702,0.81666
0.666002,0.739223,-0.417607,0.00418129,0.81498
0.666587,0.731985,-0.410346,0.00596304,0.81921
0.656777,0.74061,-0.423925,0.00269034,0.81276
0.652486,0.745439,-0.428919,0.00320736,0.81211
0.645565,0.740834,-0.428744,0.00266021,0.8077
0.640853,0.737341,-0.431905,0.00225521,0.80929
0.636555,0.736759,-0.422794,0.00343846,0.80652
0.634685,0.730974,-0.424394,0.00234374,0.80834
0.630145,0.737335,-0.429236,0.00271742,0.80471
0.622055,0.738647,-0.433368,0.00252025,0.80104
0.62015,0.745963,-0.436025,0.00204163,0.79812
0.618661,0.75068,-0.435988,0.00193044,0.79555
0.613055,0.744216,-0.432794,0.0024647,0.79589
0.613055,0.744216,-0.432794,0.0024647,0.79763
0.613055,0.744216,-0.432794,0.0024647,0.79396
0.604529,0.752957,-0.436108,0.00221392,0.79076
0.614216,0.746267,-0.431354,0.00226129,0.79658
0.609896,0.755187,-0.434296,0.00203271,0.79056
0.609753,0.750759,-0.43515,0.0018829,0.79306
0.608611,0.749084,-0.433974,0.00226773,0.79281
0.615314,0.75243,-0.434037,0.00236775,0.79822
0.625197,0.76131,-0.441048,0.00205254,0.80014
0.634783,0.754007,-0.4337,0.00247488,0.80996
0.630526,0.749834,-0.439512,0.00233686,0.80101
0.63371,0.743974,-0.431041,0.00224331,0.80518
0.638299,0.745651,-0.431127,0.00322363,0.80666
0.643858,0.747947,-0.433337,0.00255255,0.80886
0.643858,0.747947,-0.433337,0.00255255,0.8101
0.638644,0.739943,-0.430401,0.00265406,0.80575
0.63821,0.74133,-0.431297,0.00261078,0.80735
0.636039,0.746418,-0.439704,0.0022491,0.80512
0.629271,0.740013,-0.429753,0.00224972,0.80055
0.636425,0.744081,-0.429115,0.00258093,0.80728
0.635396,0.752124,-0.435421,0.00278429,0.80514
0.635412,0.745197,-0.429746,0.00238845,0.8049
0.631832,0.747116,-0.433145,0.0026814,0.80436
0.631084,0.739355,-0.433817,0.00210692,0.80676
0.638635,0.732278,-0.424474,0.00256249,0.81174
0.638666,0.723612,-0.42444,0.00257547,0.80906
0.636233,0.722704,-0.424835,0.00231338,0.80613
0.636233,0.722704,-0.424835,0.00231338,0.81064
0.630435,0.714613,-0.420246,0.0025014,0.80667
0.630435,0.714613,-0.420246,0.0025014,0.80591
0.621117,0.711064,-0.413788,0.00252628,0.80596
0.616541,0.717219,-0.413843,0.00258934,0.80649
0.616555,0.712948,-0.419332,0.00244151,0.80226
0.61694,0.705329,-0.413051,0.00279299,0.80436
0.611334,0.713517,-0.417245,0.00261471,0.80062
0.613331,0.704508,-0.41382,0.00278836,0.80148
0.608037,0.703388,-0.409309,0.00266338,0.79984
0.601678,0.693654,-0.402877,0.00261126,0.79831
0.597436,0.703285,-0.408849,0.00239224,0.7965
0.597436,0.703285,-0.408849,0.00239224,0.79148
0.5923,0.700135,-0.407731,0.00248066,0.79361
0.595305,0.690682,-0.399639,0.00309648,0.79494
0.594336,0.696456,-0.404943,0.00270535,0.79568
0.60158,0.704345,-0.408396,0.00261772,0.79636
0.598165,0.714035,-0.416759,0.0024643,0.7909
0.600961,0.721961,-0.420033,0.00233529,0.79499
0.610549,0.714052,-0.418326,0.00273984,0.798
0.602763,0.709557,-0.413224,0.00245661,0.79838
0.608358,0.716511,-0.419269,0.00238302,0.79818
0.608358,0.716511,-0.419269,0.00238302,0.8025
0.608358,0.716511,-0.419269,0.00238302,0.80103
