#   N_BLOCK:  ACCEPTANCE:
           1    0.181814
           2    0.181936
           3      0.1826
           4    0.182872
           5    0.182742
           6    0.182759
           7    0.182702
           8    0.182462
           9    0.182676
          10    0.182655
          11    0.182515
          12    0.182458
          13    0.182474
          14    0.182408
          15    0.182431
          16    0.182356
          17    0.182362
          18    0.182479
          19    0.182542
          20    0.182473
