#   N_BLOCK:  ACCEPTANCE:
           1     0.15017
           2    0.150227
           3    0.150541
           4    0.150851
           5    0.150913
           6     0.15082
           7    0.150919
           8     0.15088
           9    0.151111
          10    0.151182
          11    0.151041
          12    0.151083
          13    0.150922
          14    0.150901
          15    0.150876
          16    0.151001
          17    0.151165
          18    0.151326
          19    0.151432
          20    0.151386
