#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.214273    0.214273           0
           2    0.214485    0.214379 7.51366e-05
           3    0.214212    0.214323 6.76768e-05
           4    0.212326    0.213824 0.000435275
           5    0.213775    0.213814 0.000348333
           6    0.213428     0.21375  0.00029615
           7    0.214764    0.213895  0.00028709
           8    0.213939      0.2139 0.000251258
           9    0.212282     0.21372 0.000280377
          10    0.212222    0.213571 0.000289636
          11    0.213622    0.213575 0.000263344
          12    0.214443    0.213648 0.000251139
          13    0.214565    0.213718 0.000241526
          14    0.213602     0.21371 0.000224417
          15    0.213581    0.213701 0.000209621
          16    0.210307    0.213489  0.00028426
          17    0.213482    0.213489 0.000267539
          18    0.213137    0.213469  0.00025339
          19    0.214892    0.213544 0.000250872
          20    0.215032    0.213618 0.000249112
