#   N_BLOCK:  ACCEPTANCE:
           1   0.0934894
           2   0.0935473
           3   0.0933866
           4   0.0933167
           5   0.0933097
           6   0.0932798
           7   0.0932051
           8   0.0932762
           9   0.0932831
          10   0.0932575
          11   0.0933609
          12   0.0934317
          13   0.0933852
          14   0.0933972
          15   0.0934094
          16   0.0934058
          17   0.0934745
          18   0.0934846
          19   0.0934357
          20   0.0934576
