#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.260841    0.260841           0
           2    0.256978    0.258909  0.00136575
           3    0.259354    0.259057 0.000918513
           4    0.256262    0.258359 0.000916974
           5    0.256943    0.258075 0.000776065
           6    0.254034    0.257402 0.000892391
           7     0.25914     0.25765 0.000798703
           8    0.255803    0.257419 0.000731479
           9    0.257212    0.257396 0.000650565
          10    0.257196    0.257376 0.000585817
          11    0.258537    0.257482 0.000541986
          12     0.25779    0.257507 0.000497429
          13    0.253779    0.257221 0.000535507
          14    0.259673    0.257396 0.000525125
          15    0.259346    0.257526 0.000505953
          16    0.260614    0.257719 0.000509822
          17    0.254806    0.257547 0.000507806
          18    0.253668    0.257332 0.000523347
          19    0.261569    0.257555 0.000541224
          20    0.256245    0.257489 0.000518112
