#   N_BLOCK:  ACCEPTANCE:
           1    0.459189
           2    0.459114
           3    0.459208
           4    0.459391
           5    0.459494
           6    0.459466
           7    0.459417
           8    0.459501
           9    0.459519
          10    0.459488
          11    0.459465
          12    0.459415
          13    0.459282
          14    0.459192
          15    0.459205
          16    0.459136
          17    0.459171
          18    0.459205
          19    0.459204
          20    0.459214
